directory,session,vid,video type,color type,preds,error,lever,mag,event id,neuronal
PairedTestingSessions,092724_FiberPho_KL007Y_KL003_TimeOut,092724_Cam2_TrNum15_Coop_KL007Y-KL003B.mp4,Coop,dyed,True,1.5931684934998726e-05,True,True,True,True
PairedTestingSessions,091224_FiberPho_KL002B-KL005_TimeOut_NoTTL,091224_Cam1_TrNum14_Coop_KL002B-KL002Y.mp4,Coop,dyed,True,3.860407659048795e-06,True,True,True,True
PairedTestingSessions,091224_FiberPho_KL002B-KL005_TimeOut_NoTTL,091224_Cam1_TrNum8_Coop_KL002B-KL005Y.mp4,Coop,dyed,True,0.0005122950819672131,True,True,True,True
PairedTestingSessions,092524_FiberPho_KL005Y-KL003_2X_TimeOut,092524_Cam1_TrNum12_Coop_KL005Y-KL003G.mp4,Coop,dyed,True,0.011470207082595012,True,True,True,True
PairedTestingSessions,092524_FiberPho_KL005Y-KL003_2X_TimeOut,092524_Cam1_TrNum10_Coop_KL005Y-KL005B.mp4,Coop,dyed,True,0.0007261317794710892,True,True,True,True
PairedTestingSessions,092524_FiberPho_KL005Y-KL003_2X_TimeOut,092524_Cam1_TrNum8_Coop_KL005Y-KL006R.mp4,Coop,dyed,True,0.004448199732889967,True,True,True,True
PairedTestingSessions,101724_FiberPho_HF004Y_HF001R_TimeOut,101724_Cam2_TrNum4_Coop_HF004Y-HF003B.mp4,Coop,dyed,True,0.0077076985205036894,True,True,True,True
PairedTestingSessions,100224_FiberPho_KL006G-KL008_TimeOut,100224_Cam1_TrNum12_Coop_KL006G-KL006R.mp4,Coop,dyed,True,0.002170005990814085,True,True,True,True
PairedTestingSessions,090924_FiberPho_KL008B-KL003_TimeOut,090924_Cam2_TrNum14_Coop_KL008B-KL002Y.mp4,Coop,dyed,True,0.00040143194772695675,True,True,True,True
PairedTestingSessions,100324_FiberPho_KL002B_TimeOut_Opaque,100324_Cam1_TrNum5_Coop_KL002B-KL002Y.mp4,Coop,dyed,True,0.00010595215671501224,True,True,True,True
PairedTestingSessions,091324_FiberPho_KL006G-KL002_TimeOut,091324_Cam1_TrNum8_Coop_KL006G-KL006R.mp4,Coop,dyed,True,0.00418552036199095,True,True,True,True
