vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho,initial nan no tail,vel nan no tail
091624_Cam2_TrNum8_Coop_KL003B-KL005Y,091624_FiberPho_KL003B-KL005_TimeOut,multi,test,True,YB,0.7428483303174864,0.754009705543675,False,-1,True,True,coop,UF,True,0.6839889373252179,0.6978841092284915
091624_Cam2_TrNum12_Coop_KL003B-KL007G,091624_FiberPho_KL003B-KL005_TimeOut,multi,test,True,GB,0.7175010845986984,0.7318264642082429,False,-1,True,True,coop,UF,True,0.6512689804772235,0.6691323210412148
091624_Cam2_TrNum10_Coop_KL003B-KL003G,091624_FiberPho_KL003B-KL005_TimeOut,multi,test,True,GB,0.6365653303377098,0.6724496243768869,False,-1,True,True,coop,TP,True,0.5499192585831637,0.5947395211682932
091624_Cam1_TrNum14_Coop_KL006G-KL007Y,091624_FiberPho_KL006G-KL007_TimeOut,multi,test,True,GY,0.6662951665884561,0.6896586109807602,False,-1,True,True,coop,UF,True,0.5910590685124355,0.6201827193805725
091624_Cam1_TrNum8_Coop_KL006G-KL006R,091624_FiberPho_KL006G-KL007_TimeOut,multi,test,True,RG,0.6165963827195202,0.6387733108424702,False,-1,True,True,coop,TP,True,0.5282834317308593,0.5559108799550183
091624_Cam1_TrNum12_Coop_KL006G-KL005Y,091624_FiberPho_KL006G-KL007_TimeOut,multi,test,True,GY,0.7107867033137997,0.7260436654047606,False,-1,True,True,coop,UF,True,0.6495228958149666,0.6685292744904838
091724_Cam1_TrNum14_Coop_KL003G-KL003B,091724_FiberPho_KL003G-KL006_TimeOut,multi,test,True,GB,0.6001873641609833,0.6192985085812786,False,-1,True,True,coop,TP,True,0.509237053136476,0.5330416697894027
091724_Cam1_TrNum10_Coop_KL003G-KL002Y,091724_FiberPho_KL003G-KL006_TimeOut,multi,test,True,GY,0.6550939423388403,0.6852445740200842,False,-1,True,True,coop,UF,True,0.57720885973437,0.6147149335924846
091724_Cam1_TrNum8_Coop_KL003G-KL006R,091724_FiberPho_KL003G-KL006_TimeOut,multi,test,True,RG,0.6484625626069866,0.6663665757940785,False,-1,True,True,coop,UF,True,0.5652539149178977,0.5876101565967159
091724_Cam2_TrNum14_Coop_KL004G-KL002Y,091724_FiberPho_KL004G-KL002_TimeOut,multi,test,True,GY,0.6753292949214623,0.7070226104106502,False,-1,True,True,coop,UF,True,0.5980488835669507,0.6376435162358245
091724_Cam2_TrNum11_Coop_KL004G-KL006R,091724_FiberPho_KL004G-KL002_TimeOut,multi,test,True,RG,0.6975450358932683,0.7213294053907625,False,-1,True,True,coop,UF,True,0.6263629283489096,0.6560637613436272
091824_Cam1_TrNum8_Coop_KL006G-KL006R,091824_FiberPho_KL006G-KL003_TimeOut,multi,test,True,RG,0.6449535809018567,0.6716976127320955,False,-1,True,True,coop,TP,True,0.5605603448275862,0.5939240716180372
091824_Cam1_TrNum10_Coop_KL006G-KL001Y,091824_FiberPho_KL006G-KL003_TimeOut,multi,test,True,GY,0.7217680202059452,0.7364328735185545,False,-1,True,True,coop,UF,True,0.6566495045657664,0.6749659996114241
091824_Cam1_TrNum14_Coop_KL006G-KL003B,091824_FiberPho_KL006G-KL003_TimeOut,multi,test,True,GB,0.6605881494454174,0.6847854640980735,False,-1,True,True,coop,UF,True,0.5862430677174547,0.6164349824868651
091824_Cam2_TrNum12_Coop_KL008G-KL008B,091824_FiberPho_KL008G-KL001_TimeOut,multi,test,True,GB,0.804933190660411,0.8077153126457596,False,-1,True,True,coop,TP,True,0.7655739841413559,0.7690104809723708
091824_Cam2_TrNum14_Coop_KL008G-KL001Y,091824_FiberPho_KL008G-KL001_TimeOut,multi,test,True,GY,0.6734477643568553,0.6768727484636575,False,-1,True,True,coop,UF,True,0.6087856272515363,0.6130370576393304
091824_Cam2_TrNum8_Coop_KL008G-KL003B,091824_FiberPho_KL008G-KL001_TimeOut,multi,test,True,GB,0.6024367491166078,0.6067335689045936,False,-1,True,True,coop,UF,True,0.5132155477031802,0.5184876325088339
091924_Cam1_TrNum14_Coop_KL003B-KL003G,091924_FiberPho_KL003B-KL004_TimeOut,multi,test,True,GB,0.627497166909503,0.6453456370406346,False,-1,True,True,coop,TP,True,0.5408774485996438,0.5631273271814797
091924_Cam1_TrNum8_Coop_KL003B-KL001Y,091924_FiberPho_KL003B-KL004_TimeOut,multi,test,True,YB,0.7383968500874976,0.754272797977834,False,-1,True,True,coop,UF,True,0.6792910266381489,0.6990812755201244
091924_Cam1_TrNum10_Coop_KL003B-KL004G,091924_FiberPho_KL003B-KL004_TimeOut,multi,test,True,GB,0.6619297789336801,0.6829492847854356,False,-1,True,True,coop,UF,True,0.5829583875162548,0.6091872561768531
