vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho,initial nan no tail,vel nan no tail
062425_COOPTRAIN_LARGEARENA_FIBER_KM022Y-KM027G_Cam1_SessNum3_Camera1.mp4,062425_COOPTRAIN_LARGEARENA_FIBER_KM022Y-KM027G_Cam1_SessNum3,multi,train,False,GY,-1.0,-1.0,False,-1,False,False,coop,,True,,
061925_COOPTRAIN_LARGEARENA_FIBER_KM022B-KM027R_Cam1_SessNum1_Camera1.mp4,061925_COOPTRAIN_LARGEARENA_FIBER_KM022B-KM027R_Cam1_SessNum1,multi,train,False,RB,-1.0,-1.0,False,-1,False,False,coop,,True,,
060925_COOPTRAIN_LARGEARENA_KF024R-KF025B_SessNum3_Camera4.mp4,060925_COOPTRAIN_LARGEARENA_KF024R-KF025B_SessNum3,multi,train,False,RB,-1.0,-1.0,False,-1,False,False,coop,,True,,
062425_COOPTRAIN_LARGEARENA_FIBER_KM017G-KM017R_Cam2_SessNum1_Camera1.mp4,062425_COOPTRAIN_LARGEARENA_FIBER_KM017G-KM017R_Cam2_SessNum1,multi,train,True,RG,0.5885339719133047,0.6400438347268447,False,-1,False,False,coop,,True,0.49998985307248967,0.5641742430392077
062425_COOPTRAIN_LARGEARENA_FIBER_KM027R-KM022B_Cam1_SessNum1_Camera1.mp4,062425_COOPTRAIN_LARGEARENA_FIBER_KM027R-KM022B_Cam1_SessNum1,multi,train,False,RB,-1.0,-1.0,False,-1,False,False,coop,,True,,
061225_COOPTRAIN_LARGEARENA_FIBER_KM027G-KM022Y_Cam1_SessNum4_Camera1.mp4,061225_COOPTRAIN_LARGEARENA_FIBER_KM027G-KM022Y_Cam1_SessNum4,multi,train,False,GY,-1.0,-1.0,False,-1,False,False,coop,,True,,
060325_COOPTRAIN_LARGEARENA_KF026Y-KF026R_SessNum5_Camera3.mp4,060325_COOPTRAIN_LARGEARENA_KF026Y-KF026R_SessNum5,multi,train,False,RY,-1.0,-1.0,False,-1,False,False,coop,,True,,
061225_COOPTRAIN_LARGEARENA_FIBER_KF024R-KF025B_Cam4_SessNum1_Camera4.mp4,061225_COOPTRAIN_LARGEARENA_FIBER_KF024R-KF025B_Cam4_SessNum1,multi,train,False,RB,-1.0,-1.0,False,-1,False,False,coop,,True,,
061225_COOPTRAIN_LARGEARENA_FIBER_KF025Y-KF024G_Cam4_SessNum4_Camera4.mp4,061225_COOPTRAIN_LARGEARENA_FIBER_KF025Y-KF024G_Cam4_SessNum4,multi,train,False,GY,-1.0,-1.0,False,-1,False,False,coop,,True,,
061825_COOPTRAIN_LARGEARENA_FIBER_KM018B-KM018Y_Cam1_SessNum2_Camera1.mp4,061825_COOPTRAIN_LARGEARENA_FIBER_KM018B-KM018Y_Cam1_SessNum2,multi,train,True,YB,0.5479234844943119,0.5956872370266479,False,-1,False,False,coop,,True,0.4487981143836684,0.5083177497272869
060425_COOPTRAIN_LARGEARENA_KM022B-KM027R_SessNum1_Camera2.mp4,060425_COOPTRAIN_LARGEARENA_KM022B-KM027R_SessNum1,multi,train,False,RB,-1.0,-1.0,False,-1,False,False,coop,,True,,
061125_COOPTRAIN_LARGEARENA_KM027G-KM022Y_SessNum4_Camera2.mp4,061125_COOPTRAIN_LARGEARENA_KM027G-KM022Y_SessNum4,multi,train,False,GY,-1.0,-1.0,False,-1,False,False,coop,,True,,
060325_COOPTRAIN_LARGEARENA_KF025Y-KF024G_SessNum4_Camera3.mp4,060325_COOPTRAIN_LARGEARENA_KF025Y-KF024G_SessNum4,multi,train,False,GY,-1.0,-1.0,False,-1,False,False,coop,,True,,
062625_COOPTRAIN_LARGEARENA_FIBER_KF018Y-KF018B_Cam3_SessNum2_Camera3.mp4,062625_COOPTRAIN_LARGEARENA_FIBER_KF018Y-KF018B_Cam3_SessNum2,multi,train,True,YB,0.5450538910063861,0.5858646540626499,False,-1,False,False,coop,,True,0.44706186738016507,0.49775980008582177
061025_COOPTRAIN_LARGEARENA_KM027R-KM022B_SessNum4_Camera2.mp4,061025_COOPTRAIN_LARGEARENA_KM027R-KM022B_SessNum4,multi,train,False,RB,-1.0,-1.0,False,-1,False,False,coop,,True,,
060525_COOPTRAIN_LARGEARENA_KF025B-KF024R_SessNum3_Camera3.mp4,060525_COOPTRAIN_LARGEARENA_KF025B-KF024R_SessNum3,multi,train,False,RB,-1.0,-1.0,False,-1,False,False,coop,,True,,
062625_COOPTRAIN_LARGEARENA_FIBER_KM017G-KM017R_Cam2_SessNum2_Camera2.mp4,062625_COOPTRAIN_LARGEARENA_FIBER_KM017G-KM017R_Cam2_SessNum2,multi,train,True,RG,0.5740657875946114,0.6360498881325273,False,-1,False,False,coop,,True,0.47821559480173276,0.5555648117294235
061025_COOPTRAIN_LARGEARENA_KF026R-KF026Y_SessNum4_Camera4.mp4,061025_COOPTRAIN_LARGEARENA_KF026R-KF026Y_SessNum4,multi,train,False,RY,-1.0,-1.0,False,-1,False,False,coop,,True,,
060625_COOPTRAIN_LARGEARENA_KF023G-KF023B_SessNum3_Camera3.mp4,060625_COOPTRAIN_LARGEARENA_KF023G-KF023B_SessNum3,multi,train,False,GB,-1.0,-1.0,False,-1,False,False,coop,,True,,
062025_COOPTRAIN_LARGEARENA_FIBER_KM018Y-KM018B_Cam1_SessNum3_Camera1.mp4,062025_COOPTRAIN_LARGEARENA_FIBER_KM018Y-KM018B_Cam1_SessNum3,multi,train,True,YB,0.5501414853643828,0.5863478220531614,False,-1,False,False,coop,,True,0.45019599202115324,0.4953031497889317
