dir,session,video,color type,color pair,tracked,error,lever,mag,event id,fiber pho
PairedTestingSessions,022125_PairedTesting_TimeOut_DREADD_KM010-KM015G_DCZ-DCZ,022125_Cam1_TrNum8_Coop_KM010Y-KM015G_DCZ-SAL,collar,GY,False,,False,False,False,False
PairedTestingSessions,022125_PairedTesting_TimeOut_DREADD_KM010-KM015G_DCZ-DCZ,022125_Cam1_TrNum9_Coop_KM010B-KM010Y_DCZ-DCZ,collar,YB,True,0.41556866511181234,False,False,False,False
PairedTestingSessions,022125_PairedTesting_TimeOut_DREADD_KM010-KM015G_DCZ-DCZ,022125_Cam1_TrNum7_Coop_KM010B-KM015G_DCZ-SAL,collar,GB,False,,False,False,False,False
PairedTestingSessions,041824_KL007_TimeOut,041824_Cam3_TrNum11_Coop_KL007Y-KL007G,dyed,GY,True,0.006750402576489533,True,True,True,False
PairedTestingSessions,041824_KL007_TimeOut,041824_Cam3_TrNum5_Coop_KL007Y-KL007G,dyed,GY,True,0.005204114049718053,True,True,True,False
PairedTestingSessions,051424_EB005Y-007R-009B_TimeOut_VEH,051424_Cam4_TrNum9_Coop_EB005Y-EB007R,dyed,RY,True,0.004350710569503125,True,True,True,False
PairedTestingSessions,022525_PairedTesting_TimeOut_DREADD_KL013-KM016B_SAL-SAL,022525_Cam1_TrNum6_Coop_KM013R-KL016B_SAL-SAL,collar,RB,False,,False,False,False,False
PairedTestingSessions,022525_PairedTesting_TimeOut_DREADD_KL013-KM016B_SAL-SAL,022525_Cam1_TrNum4_Coop_KM013G-KM016B_SA2-SAL,collar,GB,False,,False,False,False,False
PairedTestingSessions,022525_PairedTesting_TimeOut_DREADD_KL013-KM016B_SAL-SAL,022525_Cam1_TrNum9_Coop_KM013R-KM013G_SAL-SAL,collar,RG,True,0.053442550972805355,False,False,False,False
PairedTestingSessions,041625_PairedTesting_TimeOut_DREADD_KM010B-SAL_KM010Y-CNO_KM013G-SAL,041625_Cam2_TrNum5_Coop_KM010Y-KM013G_CNO-SAL,collar,GY,False,,False,False,False,False
PairedTestingSessions,041625_PairedTesting_TimeOut_DREADD_KM010B-SAL_KM010Y-CNO_KM013G-SAL,041625_Cam2_TrNum6_Coop_KM010Y-KM010B_CNO-SAL,collar,YB,True,0.4649105530937141,False,False,False,False
PairedTestingSessions,053124_EB011Y-015R-017B_TimeOut_CNO,053124_Cam4_TrNum8_Coop_EB011Y-EB015R,dyed,RY,True,0.00022868793740012124,True,True,True,False
PairedTestingSessions,053124_EB011Y-015R-017B_TimeOut_CNO,053124_Cam4_TrNum10_Coop_EB011Y-EB017B,dyed,YB,True,0.00126302023585555,True,True,True,False
PairedTestingSessions,051424_EB031B-001R-033Y_TimeOut_VEH,051424_Cam3_TrNum7_Coop_EB031B-EB033Y,dyed,YB,True,0.0011804735022537306,True,True,True,False
